Answer,Question
14103019,2723506
14103668,2723506
14233484,2827052
10292362,171925
10292599,171925
10292683,171925
10351833,171925
10356668,171925
10446848,171925
10579168,2723506
11729167,1083861
12405178,171925
12943484,1931277
13648456,2482237
13648636,2482237
13651272,2482237
13731368,2482237
13736964,1931277
13740124,2555637
13740899,2555637
13746394,2482237
13749294,2557994
13751917,2557994
13761441,2567215
13761819,2567215
13769442,2571451
13769520,2571291
13785761,2580091
13788301,2581506
13793138,2582856
13799078,2581506
13802936,2582856
13833978,2605217
13848874,2614104
13848886,2614104
13849394,2614104
13850398,2614104
13850508,2609528
13850548,2614104
13852639,171925
13854750,2582856
13861745,2620377
13862812,2605217
13864776,2620377
13873230,2627723
13887918,2627653
13926251,2656621
13932544,2659525
13933945,2660846
13934229,2660846
13952105,2656621
13959444,171925
13961257,2586330
13968565,2659525
13970792,2482237
13973782,2683028
13973786,2683028
14004717,2692076
14008951,2702595
14008963,2702595
14008980,2702595
14015672,2706519
14015690,2706519
14015865,2706615
14022422,2710427
14022559,2710427
14023037,2710473
14023083,2710427
14025629,2710473
14033556,2710473
14046998,2723947
14051478,2727196
14051713,2727196
14060157,2732273
14060216,2732273
14075750,2741143
14092834,171925
14105206,2557994
14111403,2702586
14128296,2770773
14134557,2770773
14139627,2741143
14150377,2782966
14150515,2782966
14212993,2818823
14213849,2818823
14214864,2819197
14214959,2818823
14231045,2828407
14234313,2828407
14273641,2782966
14274558,2660846
10008208,4679
10008742,4679
10056258,4679
10095444,55298
10099814,57796
10102497,57796
10104769,60872
10105607,60872
10113779,66048
10115249,61463
10117152,68239
10117322,68239
10117984,67257
10118529,69057
10120578,60872
10123205,71804
10123292,71804
10138412,78936
10143578,83744
10147510,86044
10154657,89711
10166860,97561
10166936,97561
10176482,2782966
10177196,2818823
10177274,2702586
10177456,103916
10177837,103916
10177914,103916
10179000,86044
10179743,2818823
10181683,83744
10181841,106298
10182348,106298
10183625,107368
10183635,107372
10183640,107372
10183731,107368
10183770,107459
10183797,107450
10183831,107487
10183884,107506
10183886,2557650
10183888,107506
10183916,107506
10183941,107448
10183976,107582
10183986,107559
10183997,107567
10184004,107582
10184019,107487
10184089,107559
10184141,107553
10184154,107664
10184156,107664
10184658,107459
10184779,2557650
10184924,107553
10185641,107448
10186114,2710427
10186166,107418
10186910,107567
10186992,107450
10187134,109460
10187462,109460
10187536,109460
10187855,109460
10188210,110118
10188235,110118
10188236,110118
10188300,110118
10188465,110118
10188704,107368
10188729,110118
10189512,171925
10189775,110989
10190330,107553
10191421,107582
10191548,66048
10192030,112102
10192306,107559
10192329,112102
10192345,112102
10193407,113041
10193426,113047
10193449,113047
10193596,113047
10194857,2770773
10196617,115024
10196630,115021
10196665,115055
10196682,115024
10196683,115055
10196758,115021
10196871,115024
10198167,115024
10198864,116232
10198944,116232
10198980,115055
10199156,115024
10199222,115021
10199424,107553
10199451,107582
10199741,113041
10199890,171925
10200082,89711
10200440,113041
10200456,113047
10200958,107459
10201271,110118
10201340,171925
10202390,110118
10202421,107487
10202476,110118
10204720,119761
10204773,107582
10205515,110118
10205991,120513
10206860,110118
10206909,1931277
10207064,120513
10207859,121601
10208089,120513
10208175,121601
10208192,113041
10208225,107664
10208246,107664
10208251,2702586
10208327,113041
10208358,115055
10211253,2482237
10212189,124215
10212249,124215
10213265,121601
10213464,124215
10213729,124215
10213815,125176
10213836,125176
10213901,125176
10214011,125176
10214109,121601
10214307,124215
10214503,125596
10214534,125596
10214967,125176
10216916,2660846
10225525,120513
10225820,132163
10225850,132163
10226723,132163
10226982,132163
10231285,135493
10231837,135493
10231876,107559
10231916,2591519
10235860,113041
10237485,107487
10237615,139068
10238544,2581506
10238624,2580091
10241964,141778
10251363,146456
10251911,146456
10252674,148132
10255622,149930
10255699,149930
10258039,149930
10258243,151400
10260873,150939
10260961,152828
10261187,2614104
10261393,150939
10262030,152828
10264764,155320
10265545,132163
10266038,155986
10266141,132163
10269489,158093
10271229,155320
10272751,159969
10274151,158093
10276697,162414
10276703,162414
10278061,155320
10279556,148132
10280462,164698
10281160,164698
10281587,165401
10281624,165401
10281718,165401
10284004,67257
10285777,168057
10287009,168746
10287566,168746
10287690,120513
10287944,168057
10288223,168746
10288905,168746
10288913,168746
10289162,168746
10290474,170833
10290477,170833
10290545,168746
10291154,110118
10291480,170833
10293874,107448
10295357,173660
10300377,176635
10300494,176635
10305905,168746
10318722,187234
10318976,187655
10319047,187655
10319822,187234
10319844,168746
10319871,187234
10320163,188382
10320534,187234
